Year,Country,GDP,GE,ME,"Population, total",GDPb,GEb,MEb
1988,Iran,1.0169E+11,11295634835,6025962043,53035939,101.6904249,11.29563483,6.025962043
1989,Iran,1.07926E+11,12163176579,4654168026,54735239,107.9261993,12.16317658,4.654168026
1990,Iran,1.22599E+11,14079647909,3621815450,56169196,122.5986868,14.07964791,3.62181545
1991,Iran,1.38189E+11,16106441176,3044760104,57288039,138.1885178,16.10644118,3.044760104
1992,Iran,1.42746E+11,16507411265,2570267622,58130099,142.7459501,16.50741127,2.570267622
1993,Iran,1.40646E+11,19556513641,2433770335,58811858,140.6461408,19.55651364,2.433770335
1994,Iran,1.38258E+11,19127461707,2947944592,59501292,138.2575669,19.12746171,2.947944592
1995,Iran,1.41577E+11,18139693753,3137495748,60318632,141.5771927,18.13969375,3.137495748
1996,Iran,1.50568E+11,17736212597,3462578137,61306632,150.5680891,17.7362126,3.462578137
1997,Iran,1.52601E+11,16710893054,3923190069,62426086,152.6013595,16.71089305,3.923190069
1998,Iran,1.55775E+11,17251395877,4230792657,63616065,155.7754858,17.25139588,4.230792657
1999,Iran,1.58895E+11,16302683455,3923740975,64780362,158.8951955,16.30268345,3.923740975
2000,Iran,1.68183E+11,18572662391,3941688012,65850062,168.1834579,18.57266239,3.941688012
2001,Iran,1.72207E+11,18864118820,4246346186,66812736,172.2066966,18.86411882,4.246346186
2002,Iran,1.86119E+11,19703976921,4073919267,67696677,186.1189817,19.70397692,4.073919267
2003,Iran,2.02198E+11,19780521504,4894827249,68522074,202.1983559,19.7805215,4.894827249
2004,Iran,2.10967E+11,20747998989,6022004175,69321953,210.9670232,20.74799899,6.022004175
2005,Iran,2.19846E+11,21212528701,6796699587,70122115,219.8459719,21.2125287,6.796699587
2006,Iran,2.32387E+11,22006570099,7862955534,70923164,232.38654,22.0065701,7.862955534
2007,Iran,2.53571E+11,20555569575,7011051821,71720859,253.5712859,20.55556957,7.011051821
2008,Iran,2.55914E+11,20677286052,7140211774,72530693,255.9135132,20.67728605,7.140211774
2009,Iran,2.61837E+11,19582814185,8258890791,73370982,261.8371705,19.58281418,8.258890791
2010,Iran,2.79059E+11,18701506660,8089961872,74253373,279.0591814,18.70150666,8.089961872
2011,Iran,2.89523E+11,18890138336,6982171122,75184322,289.523037,18.89013834,6.982171122
2012,Iran,2.70389E+11,18164756057,5856441627,76156975,270.3893649,18.16475606,5.856441627
1988,Pakistan,53187333361,1881292688,3858782727,101420791,53.18733336,1.881292688,3.858782727
1989,Pakistan,55825302177,3067696751,3843793609,104530689,55.82530218,3.067696751,3.843793609
1990,Pakistan,58314321740,2536669686,4155853300,107607639,58.31432174,2.536669686,4.1558533
1991,Pakistan,61265940645,2260160059,4398847344,110634399,61.26594065,2.260160059,4.398847344
1992,Pakistan,65987031432,1481150587,4653898984,113616165,65.98703143,1.481150587,4.653898984
1993,Pakistan,67146916957,2539979511,4684524540,116579605,67.14691696,2.539979511,4.68452454
1994,Pakistan,69656476275,1957725836,4528931027,119564925,69.65647627,1.957725836,4.528931027
1995,Pakistan,73113254940,2295929649,4545279799,122599749,73.11325494,2.295929649,4.545279799
1996,Pakistan,76656748270,2678814876,4627954312,125697651,76.65674827,2.678814876,4.627954312
1997,Pakistan,77434351269,2343549608,4352731012,128845692,77.43435127,2.343549608,4.352731012
1998,Pakistan,79409108651,2852753546,4300149367,132013680,79.40910865,2.852753546,4.300149367
1999,Pakistan,82315587438,2385458936,4272126599,135158132,82.31558744,2.385458936,4.272126599
2000,Pakistan,85822303910,3580590881,3577694812,138250487,85.82230391,3.580590881,3.577694812
2001,Pakistan,87523717381,3096148041,3659059135,141282077,87.52371738,3.096148041,3.659059135
2002,Pakistan,90345858358,3803621075,3966761241,144271586,90.34585836,3.803621075,3.966761241
2003,Pakistan,94724308605,4153064867,4177029669,147251530,94.72430861,4.153064867,4.177029669
2004,Pakistan,1.01704E+11,4112614130,4336405994,150267989,101.7041369,4.11261413,4.336405994
2005,Pakistan,1.09502E+11,3990457835,4599242557,153356383,109.5021025,3.990457835,4.599242557
2006,Pakistan,1.16267E+11,8502364280,4238215779,156524189,116.2666409,8.50236428,4.238215779
2007,Pakistan,1.21886E+11,8322355515,4280605163,159767672,121.8855952,8.322355515,4.280605163
