Year,Country,,GDP,GE,ME,"Population, total",GDPc,GEc,MEc
1989,China,,5.08E+11,64618831074,13072122658,1118650000,507.7420406,64.61883107,13.07212266
1990,China,,5.28E+11,68725567152,13773120759,1135185000,527.7157164,68.72556715,13.77312076
1991,China,,5.77E+11,83563205196,14036682033,1150780000,576.6232218,83.5632052,14.03668203
1992,China,,6.59E+11,97531574410,16772862193,1164970000,658.9446336,97.53157441,16.77286219
1993,China,,7.51E+11,1.15E+11,15470409892,1178440000,750.7862085,115.294787,15.47040989
1994,China,,8.49E+11,1.24E+11,15224205498,1191835000,848.974559,124.2993712,15.2242055
1995,China,,9.42E+11,1.19E+11,16123980625,1204855000,942.309493,118.9832095,16.12398062
1996,China,,1.04E+12,1.29E+11,18076169979,1217550000,1035.831097,129.0168718,18.07616998
1997,China,,1.13E+12,1.40E+11,18944725473,1230075000,1131.406069,140.2676526,18.94472547
1998,China,,1.22E+12,1.54E+11,21534769385,1241935000,1220.260926,153.9193958,21.53476939
1999,China,,1.31E+12,1.73E+11,24782810631,1252735000,1313.22252,172.7198191,24.78281063
2000,China,,1.42E+12,1.96E+11,26216013901,1262645000,1423.917752,195.911039,26.2160139
2001,China,,1.54E+12,2.12E+11,31730898996,1271850000,1542.079778,211.696955,31.730899
2002,China,,1.68E+12,2.23E+11,36411480926,1280400000,1682.268849,222.7363087,36.41148093
2003,China,,1.85E+12,2.32E+11,39004936310,1288400000,1850.83174,232.2253385,39.00493631
2004,China,,2.04E+12,2.45E+11,41984957904,1296075000,2037.314938,244.6857323,41.9849579
2005,China,,2.27E+12,2.76E+11,46288272092,1303720000,2268.598904,275.8726056,46.28827209
2006,China,,2.56E+12,3.05E+11,53065300852,1311020000,2556.44384,305.1378886,53.06530085
2007,China,,2.92E+12,3.39E+11,59449812714,1317885000,2919.330063,339.3544372,59.44981271
2008,China,,3.20E+12,3.69E+11,64348538713,1324655000,3200.268215,368.8192603,64.34853871
2009,China,,3.50E+12,3.92E+11,77232111869,1331260000,3495.766616,391.5503426,77.23211187
2010,China,,3.87E+12,4.41E+11,78974744125,1337705000,3867.426323,440.9788254,78.97474413
2011,China,,4.23E+12,4.86E+11,83219929021,1344130000,4234.232612,485.9961874,83.21992902
