Year,Country,GDP,GE,ME,Population,GDPf,GEf,MEf,Sweden,Denmark,Netherlands,Norway,Germany,Finland,France ,Japan
1988,Sweden,2.68E+11,74315387530,6446467341,8436489,268,74.32,6.45,1,0,0,0,0,0,0,0
1989,Sweden,2.75E+11,76333768102,6432237524,8492964,275,76.33,6.43,1,0,0,0,0,0,0,0
1990,Sweden,2.77E+11,78423808088,6612420254,8558835,277,78.42,6.61,1,0,0,0,0,0,0,0
1991,Sweden,2.74E+11,82304493796,6291999138,8617375,274,82.3,6.29,1,0,0,0,0,0,0,0
1992,Sweden,2.70E+11,84468616982,6190501130,8668067,270,84.47,6.19,1,0,0,0,0,0,0,0
1993,Sweden,2.65E+11,84519071452,6319475020,8718561,265,84.52,6.32,1,0,0,0,0,0,0,0
1994,Sweden,2.76E+11,83590772246,6283199692,8780745,276,83.59,6.28,1,0,0,0,0,0,0,0
1995,Sweden,2.87E+11,83924865082,6220689501,8826939,287,83.92,6.22,1,0,0,0,0,0,0,0
1996,Sweden,2.91E+11,83765505043,6266363781,8840998,291,83.77,6.27,1,0,0,0,0,0,0,0
1997,Sweden,2.99E+11,83725505247,5891621090,8846062,299,83.73,5.89,1,0,0,0,0,0,0,0
1998,Sweden,3.12E+11,87013568352,6004189071,8850974,312,87.01,6,1,0,0,0,0,0,0,0
1999,Sweden,3.26E+11,88442312346,6202250847,8857874,326,88.44,6.2,1,0,0,0,0,0,0,0
2000,Sweden,3.42E+11,87486507231,6299564744,8872109,342,87.49,6.3,1,0,0,0,0,0,0,0
2001,Sweden,3.47E+11,87975700125,5971543635,8895960,347,87.98,5.97,1,0,0,0,0,0,0,0
2002,Sweden,3.54E+11,90074482329,5844952019,8924958,354,90.07,5.84,1,0,0,0,0,0,0,0
2003,Sweden,3.63E+11,90750863968,5811970952,8958229,363,90.75,5.81,1,0,0,0,0,0,0,0
2004,Sweden,3.78E+11,90874208763,5466634830,8993531,378,90.87,5.47,1,0,0,0,0,0,0,0
2005,Sweden,3.89E+11,91180634543,5518459542,9029572,389,91.18,5.52,1,0,0,0,0,0,0,0
2006,Sweden,4.07E+11,92849546584,5407931287,9080505,407,92.85,5.41,1,0,0,0,0,0,0,0
2007,Sweden,4.21E+11,93236810660,5513422457,9148092,421,93.24,5.51,1,0,0,0,0,0,0,0
2008,Sweden,4.19E+11,95160156034,4909276326,9219637,419,95.16,4.91,1,0,0,0,0,0,0,0
2009,Sweden,3.97E+11,97646866212,4679205053,9298515,397,97.65,4.68,1,0,0,0,0,0,0,0
2010,Sweden,4.21E+11,98598313441,5072337531,9378126,421,98.6,5.07,1,0,0,0,0,0,0,0
2011,Sweden,4.32E+11,99674061258,4853092602,9449213,432,99.67,4.85,1,0,0,0,0,0,0,0
2012,Sweden,4.31E+11,1.01E+11,4946067670,9519374,431,101,4.95,1,0,0,0,0,0,0,0
2013,Sweden,4.36E+11,1.02E+11,4920675634,9600379,436,102,4.92,1,0,0,0,0,0,0,0
2014,Sweden,4.46E+11,1.04E+11,5137942154,9689555,446,104,5.14,1,0,0,0,0,0,0,0
1988,Denmark,1.86E+11,45039230005,3748570160,5129516,186,45.04,3.75,0,1,0,0,0,0,0,0
1989,Denmark,1.87E+11,44690477596,3650093210,5132594,187,44.69,3.65,0,1,0,0,0,0,0,0
1990,Denmark,1.90E+11,44353697529,3646453228,5140939,190,44.35,3.65,0,1,0,0,0,0,0,0
1991,Denmark,1.93E+11,44721525667,3701301340,5154298,193,44.72,3.7,0,1,0,0,0,0,0,0
1992,Denmark,1.96E+11,45188598633,3648321536,5171370,196,45.19,3.65,0,1,0,0,0,0,0,0
1993,Denmark,1.96E+11,47221476035,3679432162,5188628,196,47.22,3.68,0,1,0,0,0,0,0,0
1994,Denmark,2.07E+11,48398648005,3603647594,5206180,207,48.4,3.6,0,1,0,0,0,0,0,0
1995,Denmark,2.13E+11,49659034755,3594933144,5233373,213,49.66,3.59,0,1,0,0,0,0,0,0
1996,Denmark,2.19E+11,51267419069,3610299626,5263074,219,51.27,3.61,0,1,0,0,0,0,0,0
1997,Denmark,2.27E+11,51494903603,3662625935,5284991,227,51.49,3.66,0,1,0,0,0,0,0,0
1998,Denmark,2.32E+11,53134885370,3725484654,5304219,232,53.13,3.73,0,1,0,0,0,0,0,0
1999,Denmark,2.39E+11,54987876787,3732343568,5321799,239,54.99,3.73,0,1,0,0,0,0,0,0
2000,Denmark,2.47E+11,56835513953,3606405613,5339616,247,56.84,3.61,0,1,0,0,0,0,0,0
2001,Denmark,2.49E+11,57769400874,3823047077,5358783,249,57.77,3.82,0,1,0,0,0,0,0,0
2002,Denmark,2.51E+11,59124670692,3780139814,5375931,251,59.12,3.78,0,1,0,0,0,0,0,0
2003,Denmark,2.52E+11,59366466500,3690968102,5390574,252,59.37,3.69,0,1,0,0,0,0,0,0
2004,Denmark,2.58E+11,60340094712,3678842455,5404523,258,60.34,3.68,0,1,0,0,0,0,0,0
2005,Denmark,2.65E+11,61322516634,3468458704,5419432,265,61.32,3.47,0,1,0,0,0,0,0,0
2006,Denmark,2.75E+11,62654437508,3781632608,5437272,275,62.65,3.78,0,1,0,0,0,0,0,0
2007,Denmark,2.77E+11,63615068121,3618477515,5461438,277,63.62,3.62,0,1,0,0,0,0,0,0
2008,Denmark,2.75E+11,65685611340,3732768694,5493621,275,65.69,3.73,0,1,0,0,0,0,0,0
2009,Denmark,2.61E+11,67994500350,3538834467,5523095,261,67.99,3.54,0,1,0,0,0,0,0,0
2010,Denmark,2.65E+11,68715395204,3733537995,5547683,265,68.72,3.73,0,1,0,0,0,0,0,0
2011,Denmark,2.68E+11,67876854715,3548590655,5570572,268,67.88,3.55,0,1,0,0,0,0,0,0
2012,Denmark,2.66E+11,67648122966,3656129515,5591572,266,67.65,3.66,0,1,0,0,0,0,0,0
2013,Denmark,2.65E+11,67624636223,3334457743,5614932,265,67.62,3.33,0,1,0,0,0,0,0,0
2014,Denmark,2.68E+11,67578516381,3490221332,5639565,268,67.58,3.49,0,1,0,0,0,0,0,0
