Year,Country,,GDP,GE,ME,"Population, total",GDPh,GEh,MEh
1988,Uruguay,,12143539986,1370445808,384355667.6,3069094,12.14353999,1.370445808,0.384355668
1989,Uruguay,,12277592648,1349251499,433291722.7,3088985,12.27759265,1.349251499,0.433291723
1990,Uruguay,,12314099871,1382775326,434822829.5,3109987,12.31409987,1.382775326,0.43482283
1991,Uruguay,,12749872284,1532515451,305632143.1,3132048,12.74987228,1.532515451,0.305632143
1992,Uruguay,,13761139677,1474065614,392125924.8,3154853,13.76113968,1.474065614,0.392125925
1993,Uruguay,,14126848308,1488999365,394477880.1,3178156,14.12684831,1.488999365,0.39447788
1994,Uruguay,,15155472539,1577549910,390663566.1,3201604,15.15547254,1.57754991,0.390663566
1995,Uruguay,,14936082076,1566439473,405460815.1,3224807,14.93608208,1.566439473,0.405460815
1996,Uruguay,,15769210425,1628364953,442474854,3248039,15.76921042,1.628364953,0.442474854
1997,Uruguay,,17117112580,1706676286,410762402.9,3271014,17.11711258,1.706676286,0.410762403
1998,Uruguay,,17890616081,1797455468,403994177.4,3292134,17.89061608,1.797455468,0.403994177
1999,Uruguay,,17543679083,1794186508,420076317.2,3309318,17.54367908,1.794186508,0.420076317
2000,Uruguay,,17205098245,1784069769,423846905.5,3321242,17.20509824,1.784069769,0.423846906
2001,Uruguay,,16543711908,1730203291,414554068.6,3327105,16.54371191,1.730203291,0.414554069
2002,Uruguay,,15264550910,1558027797,386372503.9,3327770,15.26455091,1.558027797,0.386372504
2003,Uruguay,,15387473883,1497179114,353902540.8,3325637,15.38747388,1.497179114,0.353902541
2004,Uruguay,,16157487753,1557766713,340095141.8,3324096,16.15748775,1.557766713,0.340095142
2005,Uruguay,,17362857684,1537290282,361417728.1,3325608,17.36285768,1.537290282,0.361417728
2006,Uruguay,,18074487838,1565258745,372844884.5,3331041,18.07448784,1.565258745,0.372844885
2007,Uruguay,,19256832421,1674120085,354177130.2,3339750,19.25683242,1.674120085,0.35417713
2008,Uruguay,,20638730573,1813918927,403008638,3350832,20.63873057,1.813918927,0.403008638
2009,Uruguay,,21514533903,1889151714,442079806.7,3362761,21.5145339,1.889151714,0.442079807
