Year,Country,,GDP,GE,ME,"Population, total",GDPk,GEk,MEk
1992,Russia,,6.84E+11,91816619976,32536026264,148689000,684.1923222,91.81661998,32.53602626
1993,Russia,,6.25E+11,88332461846,28061615027,148520000,624.8828347,88.33246185,28.06161503
1994,Russia,,5.46E+11,86468882113,26549766533,148336000,546.3365873,86.46888211,26.54976653
1995,Russia,,5.24E+11,90478840648,21296602863,148375726,523.6989756,90.47884065,21.29660286
1996,Russia,,5.05E+11,94862594264,20377887997,148160042,504.8458125,94.86259426,20.377888
1997,Russia,,5.12E+11,90253834003,22220876686,147915307,511.9136538,90.253834,22.22087669
1998,Russia,,4.85E+11,99365155890,14234301905,147670692,484.7822302,99.36515589,14.23430191
1999,Russia,,5.16E+11,1.00E+11,17032517489,147214392,515.8082929,100.0885235,17.03251749
2000,Russia,,5.67E+11,99303036420,20160425384,146596557,567.3891222,99.30303642,20.16042538
2001,Russia,,5.96E+11,95800547656,22720209279,145976083,596.2804868,95.80054766,22.72020928
2002,Russia,,6.25E+11,96355226162,25233729554,145306046,624.5660648,96.35522616,25.23372955
2003,Russia,,6.70E+11,98075743620,26431347031,144648257,670.1334951,98.07574362,26.43134703
2004,Russia,,7.18E+11,1.02E+11,25468942412,144067054,718.2219342,101.6527971,25.46894241
2005,Russia,,7.64E+11,1.02E+11,27336978052,143518523,764.017108,101.5644659,27.33697805
2006,Russia,,8.26E+11,1.03E+11,28812539681,143049528,826.3107232,103.0536374,28.81253968
2007,Russia,,8.97E+11,1.05E+11,30040488258,142805088,896.8370062,105.3860756,30.04048826
2008,Russia,,9.44E+11,1.08E+11,31930718928,142742350,943.9025955,108.1003481,31.93071893
2009,Russia,,8.70E+11,1.03E+11,36672252145,142785342,870.0810587,102.5186285,36.67225214
2010,Russia,,9.09E+11,1.02E+11,35013285845,142849449,909.2671223,102.0897316,35.01328585
2011,Russia,,9.48E+11,1.04E+11,34958098182,142960868,948.0398779,104.0643615,34.95809818
2012,Russia,,9.80E+11,1.03E+11,39424468598,143201676,980.3258196,103.2125751,39.4244686
2013,Russia,,9.93E+11,1.02E+11,41970317283,143506911,993.4700048,102.2357339,41.97031728
2014,Russia,,9.84E+11,99303463281,44758381804,143819569,984.2902943,99.30346328,44.7583818
