Year,Country,,GDP,GE,ME,"Population, total",GDPm,GEm,MEm
1988,South Korea,,3.24E+11,36853098918,12398740194,42031247,324.3982622,36.85309892,12.39874019
1989,South Korea,,3.46E+11,40608747870,13181346504,42449038,346.3018363,40.60874787,13.1813465
1990,South Korea,,3.78E+11,46451350056,13439220321,42869283,378.4986629,46.45135006,13.43922032
1991,South Korea,,4.15E+11,50091236288,13690968603,43295704,415.2618166,50.09123629,13.6909686
1992,South Korea,,4.39E+11,54183615175,14324461346,43747962,439.2026458,54.18361517,14.32446135
1993,South Korea,,4.67E+11,57586326111,14747009947,44194628,467.0015127,57.58632611,14.74700995
1994,South Korea,,5.08E+11,60363179225,14971081972,44641540,507.9663855,60.36317923,14.97108197
1995,South Korea,,5.53E+11,63211540962,15912651156,45092991,553.3309547,63.21154096,15.91265116
1996,South Korea,,5.93E+11,69310695905,16128085045,45524681,593.0928554,69.31069591,16.12808504
1997,South Korea,,6.27E+11,71068561492,16618404178,45953580,627.2949828,71.06856149,16.61840418
1998,South Korea,,5.91E+11,73290414867,16429418308,46286503,591.451989,73.29041487,16.42941831
1999,South Korea,,6.55E+11,76035044075,16288534938,46616677,654.9182751,76.03504408,16.28853494
2000,South Korea,,7.13E+11,76290429640,17514676339,47008111,712.75593,76.29042964,17.51467634
2001,South Korea,,7.45E+11,81552251372,18087942832,47357362,745.0104131,81.55225137,18.08794283
2002,South Korea,,8.00E+11,86694403330,18532659058,47622179,800.3828174,86.69440333,18.53265906
2003,South Korea,,8.24E+11,89999252972,19184929397,47859311,823.8597027,89.99925297,19.1849294
2004,South Korea,,8.64E+11,93983022371,20145706631,48039415,864.2276047,93.98302237,20.14570663
2005,South Korea,,8.98E+11,97138734287,22159583961,48138077,898.1371947,97.13873429,22.15958396
2006,South Korea,,9.45E+11,1.05E+11,23505776915,48371946,944.6259793,104.5901652,23.50577692
2007,South Korea,,9.96E+11,1.11E+11,24603399308,48597652,996.2347325,111.2574928,24.60339931
2008,South Korea,,1.02E+12,1.16E+11,26650049630,48948698,1024.42035,116.1154157,26.65004963
2009,South Korea,,1.03E+12,1.22E+11,27919441005,49182038,1031.668313,122.3277325,27.919441
2010,South Korea,,1.10E+12,1.28E+11,27678602186,49410366,1098.693587,128.3503174,27.67860219
2011,South Korea,,1.14E+12,1.30E+11,29258140686,49779440,1139.14424,130.2214891,29.25814069
2012,South Korea,,1.17E+12,1.35E+11,30170764585,50004441,1165.257782,134.6902041,30.17076459
2013,South Korea,,1.20E+12,1.39E+11,31168641927,50219669,1199.006212,139.0689791,31.16864193
2014,South Korea,,1.24E+12,1.43E+11,32216892127,50423955,1238.695087,142.8219504,32.21689213
1988,UK,,1.57E+12,2.83E+11,59152628581,56928327,1569.46212,283.008554,59.15262858
1989,UK,,1.61E+12,2.87E+11,58147849652,57076711,1608.980126,287.2921965,58.14784965
1990,UK,,1.62E+12,2.95E+11,57624878874,57247586,1617.621633,295.3880519,57.62487887
1991,UK,,1.60E+12,3.05E+11,58821118239,57424897,1597.622673,304.8205987,58.82111824
1992,UK,,1.60E+12,3.11E+11,55466122297,57580402,1604.763302,310.8629952,55.4661223
1993,UK,,1.65E+12,3.11E+11,52896064435,57718614,1647.21887,310.9284266,52.89606443
1994,UK,,1.71E+12,3.16E+11,51826634530,57865745,1713.518823,315.8299196,51.82663453
1995,UK,,1.80E+12,3.24E+11,49749559172,58019030,1797.815546,324.2809584,49.74955917
1996,UK,,1.85E+12,3.28E+11,48721603088,58166950,1845.777897,327.845885,48.72160309
1997,UK,,1.90E+12,3.28E+11,46937526366,58316954,1902.977826,328.3630177,46.93752637
1998,UK,,1.97E+12,3.40E+11,47184464887,58487141,1967.231266,339.5848503,47.18446489
1999,UK,,2.03E+12,3.51E+11,47233196729,58682466,2028.46614,350.9124118,47.23319673
2000,UK,,2.11E+12,3.63E+11,47744601281,58892514,2105.524417,363.0812357,47.74460128
2001,UK,,2.16E+12,3.78E+11,49766880282,59119673,2163.595528,377.5862556,49.76688028
2002,UK,,2.22E+12,3.92E+11,52343305811,59370479,2217.553745,391.8561772,52.34330581
2003,UK,,2.29E+12,4.07E+11,55360598282,59647577,2291.546075,407.3174624,55.36059828
2004,UK,,2.35E+12,4.23E+11,55158627305,59987905,2348.57024,422.8029078,55.15862731
2005,UK,,2.42E+12,4.34E+11,55151363636,60401206,2418.941818,433.6177273,55.15136364
2006,UK,,2.48E+12,4.44E+11,55155141952,60846820,2483.329757,444.2673754,55.15514195
2007,UK,,2.55E+12,4.48E+11,56602181552,61322463,2547.549573,448.4429774,56.60218155
2008,UK,,2.54E+12,4.56E+11,59561577659,61806995,2535.655656,456.3620366,59.56157766
2009,UK,,2.43E+12,4.61E+11,60788550058,62276270,2429.362369,461.266333,60.78855006
2010,UK,,2.47E+12,4.64E+11,59610000227,62766365,2466.778841,463.5253302,59.61000023
2011,UK,,2.52E+12,4.65E+11,58428441698,63258918,2515.433551,465.1214969,58.4284417
2012,UK,,2.55E+12,4.77E+11,56596979797,63700300,2545.091925,476.6137916,56.5969798
2013,UK,,2.60E+12,4.81E+11,54508523479,64106779,2600.063464,481.2885399,54.50852348
