regex,score
([^.?!]*)(\b(Kikuyu)\b)([^.?!]*),1
([^.?!]*)(\b(Luhya)\b)([^.?!]*),2
([^.?!]*)(\b(Luo)\b)([^.?!]*),3
([^.?!]*)(\b(Kalenjin)\b)([^.?!]*),4
([^.?!]*)(\b(Kamba)\b)([^.?!]*),5
([^.?!]*)(\b(Kisii)\b)([^.?!]*),6
([^.?!]*)(\b(Meru)\b)([^.?!]*),7
([^.?!]*)(\b(Kibera)\b)([^.?!]*),8
([^.?!]*)(\b(nairobbery)\b)([^.?!]*),9
([^.?!]*)(\b(Bensouda)\b)([^.?!]*)((ICC)|(International Criminal Court)),10
([^.?!]*)(\b((International Criminal Court)|(ICC))\b)([^.?!]*)((Bensouda)),11
([^.?!]*)(\b(harambee)\b)([^.?!]*)(Kenya(ns)?),12
([^.?!]*)(\b(kenya(ns)?)\b)([^.?!]*)(harambee),13
([^.?!]*)(\b((Ethics and Anti-Corruption Commission)|(EACC)|([@]EACCKenya))\b)([^.?!]*),14
([^.?!]*)(\b((Independent Electoral and Boundaries Commission)|(IEBC)|([@]IEBCKenya))\b)([^.?!]*),15
([^.?!]*)(\b(kenya(ns)?)\b)([^.?!]*)((Orange Democratic Movement)|(Orange)|(ODM)|(National Super Alliance)|(NASA)),17
([^.?!]*)(\b(kenya(ns)?)\b)([^.?!]*)(Jubilee),19
([^.?!]*)(\b(([@]UKenyatta)|(Kenyatta('s)?))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),20
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)(([@]UKenyatta)|(Kenyatta('s)?)),21
([^.?!]*)(\b(([@]UKenyatta)|(Kenyatta('s)?))\b)([^.?!]*)((tyrant)|(facist)|(dictator)|(despot(ic)?)|(abuse of power)|(undemocratic)|(authoritarian)),22
([^.?!]*)(\b((tyrant)|(facist)|(dictator)|(despot(ic)?)|(abuse of power)|(undemocratic)|(authoritarian))\b)([^.?!]*)(([@]UKenyatta)|(Kenyatta('s)?)),23
([^.?!]*)(\b(([@]UKenyatta)|(Kenyatta('s)?))\b)([^.?!]*)((jeuri)|(dikteta)|(dhalimu)),24
([^.?!]*)(\b((jeuri)|(dikteta)|(dhalimu))\b)([^.?!]*)(([@]UKenyatta)|(Kenyatta('s)?)),25
([^.?!]*)(\b(([@]UKenyatta)|(Kenyatta('s)?))\b)([^.?!]*)((integrity)|(unfit)),26
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)(([@]UKenyatta)|(Kenyatta('s)?)),27
([^.?!]*)(\b(([@]UKenyatta)|(Kenyatta('s)?))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),28
([^.?!]*)(\b((liar)|(lies?))\b)([^.?!]*)(([@]UKenyatta)|(Kenyatta('s)?)),29
([^.?!]*)(\b(([@]UKenyatta)|(Kenyatta('s)?))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),30
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)(([@]UKenyatta)|(Kenyatta('s)?)),31
([^.?!]*)(\b(([@]UKenyatta)|(Kenyatta('s)?))\b)([^.?!]*)((impeach)|(kick out)|(vote out)|(overturn)|(overthrow)),32
([^.?!]*)(\b((impeach)|(kick out)|(vote out)|(overturn)|(overthrow))\b)([^.?!]*)(([@]UKenyatta)|(Kenyatta('s)?)),33
([^.?!]*)(\b((Ruto('s)?)|([@]WilliamsRuto))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),34
([^.?!]*)(\b((Ruto('s)?)|([@]WilliamsRuto))\b)([^.?!]*)((integrity)|(unfit)),36
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((Ruto('s)?)|([@]WilliamsRuto)),37
([^.?!]*)(\b((Ruto('s)?)|([@]WilliamsRuto))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),38
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)((Ruto('s)?)|([@]WilliamsRuto)),39
([^.?!]*)(\b((Ruto('s)?)|([@]WilliamsRuto))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),40
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((Ruto('s)?)|([@]WilliamsRuto)),41
([^.?!]*)(\b((Odinga('s)?)|([@]RailaOdinga))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),42
([^.?!]*)(\b((Odinga('s)?)|([@]RailaOdinga))\b)([^.?!]*)((integrity)|(unfit)),44
